stan_id,green::preserve_nature,green::new_green_area,green::ecological_corridor,green::green_connection,green::green-blue_corridor,green::buffer_zone,green::greenify_neighborhoods,green::greenify_waterfront,green::naturalise_water,green::transform_green_to_productive_green_(often:_allotment_gardens),green::transform_to_active_green_(sports),green::transform_to_social/recreational_green,green::make_allotment_gardens_public,green::vertical_gardens,green::culture/events_in_green,urban::mixed-use,urban::commercial,urban::residential,urban::parking,urban::education_centre,urban::public_space_(general),"urban::public_space_(connected_to_infra,_e.g._bridge)",urban::densify,urban::public_sector,urban::public-private_sector,urban::community_concept,urban::keep_industry,urban::relocating_house_boats,water::improve_waterfront,water::mobility_corridor_waterfront,water::connect_to_waterfront,water::public_space_waterfront,water::canals,water::bridge,water::ferry,water::cross-water_connection,water::floating_homes,water::floating_public_space,water::floating_pathway,water::increasing_permeability_of_area,water::water_collection,water::floodplain,connections::enforce_existing_connections,connections::new_connections,connections::improve_street_grid_hierarchy,connections::public_transport_connections
1,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,
2,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,5,,,,,,,,,,,,2,,,
3,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,4,,
4,1,,2,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,
5,1,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,,2,,
6,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,5,,,,,,,,,4,,
7,1,1,,,,,,,,,,,,,,,1,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,
8,1,,3,,,1,,,,,,,,,,4,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,
9,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,4,,
10,,,,1,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,5,,,,,,,1,,,,,,
11,1,,,4,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,1,
12,1,,1,13,,,4,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
13,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,1,,,,,1,1,,
14,1,,12,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
15,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,
16,2,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
17,1,,8,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,2
19,1,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,3,,1,,,,,5,,,,3,,
20,,,,,,,,,,1,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,6,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,1,,1,,,,,,,,,,,,
22,,,,7,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,
24,1,2,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
26,,6,,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
27,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,6,,,,,1,1,,,,,
28,,7,2,2,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,3,1,,5,,,,,,,,,,,
29,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,,
30,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,
31,2,,1,,,1,,,,2,,,,,,,,,,,,,6,,,,,,,,,,,1,,,,,,,,1,,,,
32,,,,1,,,,2,,,4,3,1,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,4,,,
33,1,,,4,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
34,,1,,2,,1,,,,,1,1,,,2,,,,,1,,2,,,,,,,,,,,,1,2,,,,1,,,1,,,,
35,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,1,1,2,1,2,3,,
36,1,1,,1,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,3,1,,
37,,1,1,4,,1,,,,3,,3,,,,,,,,1,,1,,,,,,,,,,,,,5,,,,,,,,,,,